job_0_ablation_0.00_povs_post,job_2_ablation_0.06_povs_post,job_6_ablation_0.19_povs_post,job_14_ablation_0.43_povs_post,job_16_ablation_0.50_povs_post,job_19_ablation_0.59_povs_post,job_12_ablation_0.37_povs_post,job_13_ablation_0.40_povs_post,job_29_ablation_0.90_povs_post,job_22_ablation_0.68_povs_post,job_1_ablation_0.03_povs_post,job_24_ablation_0.74_povs_post,job_17_ablation_0.53_povs_post,job_8_ablation_0.25_povs_post,job_3_ablation_0.09_povs_post,job_20_ablation_0.62_povs_post,job_25_ablation_0.78_povs_post,job_27_ablation_0.84_povs_post,job_18_ablation_0.56_povs_post,job_7_ablation_0.22_povs_post,job_10_ablation_0.31_povs_post,job_15_ablation_0.47_povs_post,job_28_ablation_0.87_povs_post,job_26_ablation_0.81_povs_post,job_11_ablation_0.34_povs_post,job_21_ablation_0.65_povs_post,job_9_ablation_0.28_povs_post,job_23_ablation_0.71_povs_post,job_5_ablation_0.16_povs_post,job_4_ablation_0.12_povs_post
58.398,63.751,66.237,62.826,65.458,60.664,67.904,55.406,82.622,78.698,68.703,67.517,63.424,61.846,55.621,75.242,63.782,62.196,66.292,59.361,68.183,70.186,68.449,68.964,63.514,60.925,64.913,61.938,58.136,68.756
12.689,11.076,15.041,13.227,14.472,14.065,9.891,11.857,6.743,9.892,12.092,12.459,15.196,15.009,11.295,7.508,20.127,18.375,14.392,12.598,12.731,11.218,13.287,15.845,11.618,14.867,15.195,16.363,12.706,13.918
5.752,4.914,4.348,5.665,4.056,4.711,4.458,8.99,5.076,2.421,3.269,5.612,5.369,5.693,4.463,5.183,6.26,7.021,6.852,5.677,5.386,3.589,5.826,6.143,3.889,7.879,5.231,5.227,6.027,5.06
2.969,4.807,2.761,4.125,2.856,3.945,3.624,4.351,1.921,2.11,2.991,2.65,3.094,2.162,3.628,2.817,2.83,4.252,2.057,3.462,2.602,2.318,4.79,2.498,3.109,3.718,2.14,4.31,4.512,2.254
2.893,2.359,1.783,2.65,1.951,2.835,2.305,2.501,1.122,1.051,1.812,2.457,2.699,1.828,2.764,2.28,2.325,2.289,1.474,2.675,1.963,2.283,2.202,2.287,2.512,2.978,1.67,3.493,2.856,1.768
2.165,1.571,1.557,2.241,1.677,1.981,1.772,2.2,0.932,0.968,1.703,1.989,1.797,1.594,2.411,1.035,1.102,1.542,1.41,1.954,1.664,1.664,1.932,0.984,1.903,1.768,1.498,1.834,2.055,1.191
1.822,1.556,1.412,1.438,1.274,1.869,1.407,1.984,0.804,0.852,1.111,1.213,1.502,1.374,1.954,0.607,0.89,1.154,0.882,1.786,0.732,1.072,1.014,0.729,1.83,1.493,1.307,1.41,1.75,0.633
1.416,1.245,0.783,1.41,1.044,1.676,1.228,1.549,0.511,0.687,0.845,0.858,1.324,1.303,1.715,0.595,0.783,1.108,0.726,1.49,0.613,0.774,0.918,0.53,1.522,0.84,1.014,1.18,1.562,0.506
1.18,1.099,0.497,0.863,0.768,1.323,0.998,1.409,0.269,0.619,0.662,0.7,0.903,1.166,1.409,0.553,0.622,0.71,0.559,1.384,0.483,0.639,0.662,0.457,1.4,0.782,0.569,0.689,1.312,0.419
1.0,0.777,0.387,0.524,0.636,0.949,0.807,1.241,0.0,0.456,0.507,0.626,0.773,0.71,1.396,0.476,0.425,0.654,0.491,1.054,0.426,0.596,0.485,0.344,0.929,0.699,0.493,0.578,1.069,0.357
